id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,match_outcome
509,2014,Chandigarh,2014-05-23,Kings Xi Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings Xi Punjab,16,0,Se Marsh,"Punjab Cricket Association Stadium, Mohali",Hdpk Dharmasena,Pg Pathak,Target is defended
510,2014,Bangalore,2014-05-24,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,8,Ms Dhoni,M Chinnaswamy Stadium,Ak Chaudhary,Nj Llong,Target is chased
511,2014,Kolkata,2014-05-24,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,4,Yk Pathan,Eden Gardens,Rm Deshpande,Bnj Oxenford,Target is chased
512,2014,Chandigarh,2014-05-25,Delhi Daredevils,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,7,M Vohra,"Punjab Cricket Association Stadium, Mohali",Hdpk Dharmasena,Va Kulkarni,Target is chased
513,2014,Mumbai,2014-05-25,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,Cj Anderson,Wankhede Stadium,K Srinath,Rj Tucker,Target is chased
514,2014,Kolkata,2014-05-27,Kolkata Knight Riders,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kolkata Knight Riders,28,0,Ut Yadav,Eden Gardens,Nj Llong,S Ravi,Target is defended
515,2014,Mumbai,2014-05-28,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,7,Sk Raina,Brabourne Stadium,Va Kulkarni,Bnj Oxenford,Target is chased
516,2014,Mumbai,2014-05-30,Kings Xi Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Kings Xi Punjab,24,0,V Sehwag,Wankhede Stadium,Hdpk Dharmasena,Rj Tucker,Target is defended
517,2014,Bangalore,2014-06-01,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,3,Mk Pandey,M Chinnaswamy Stadium,Hdpk Dharmasena,Bnj Oxenford,Target is chased
518,2015,Kolkata,2015-04-08,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,M Morkel,Eden Gardens,S Ravi,C Shamshuddin,Target is chased
519,2015,Chennai,2015-04-09,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Chennai Super Kings,1,0,A Nehra,"Ma Chidambaram Stadium, Chepauk",Rk Illingworth,Va Kulkarni,Target is defended
520,2015,Pune,2015-04-10,Rajasthan Royals,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Rajasthan Royals,26,0,Jp Faulkner,Maharashtra Cricket Association Stadium,Sd Fry,Cb Gaffaney,Target is defended
521,2015,Chennai,2015-04-11,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Chennai Super Kings,45,0,Bb Mccullum,"Ma Chidambaram Stadium, Chepauk",Rk Illingworth,Va Kulkarni,Target is defended
522,2015,Kolkata,2015-04-11,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,3,Ch Gayle,Eden Gardens,S Ravi,C Shamshuddin,Target is chased
523,2015,Delhi,2015-04-12,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,Dj Hooda,Feroz Shah Kotla,Sd Fry,Cb Gaffaney,Target is chased
524,2015,Mumbai,2015-04-12,Kings Xi Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings Xi Punjab,18,0,Gj Bailey,Wankhede Stadium,Ak Chaudhary,K Srinivasan,Target is defended
525,2015,Bangalore,2015-04-13,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,8,Da Warner,M Chinnaswamy Stadium,Rm Deshpande,Rk Illingworth,Target is chased
526,2015,Ahmedabad,2015-04-14,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Rajasthan Royals,0,7,Spd Smith,"Sardar Patel Stadium, Motera",Ak Chaudhary,Sd Fry,Target is chased
527,2015,Kolkata,2015-04-30,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,Ad Russell,Eden Gardens,Ak Chaudhary,M Erasmus,Target is chased
528,2015,Pune,2015-04-15,Kings Xi Punjab,Delhi Daredevils,Kings Xi Punjab,bat,normal,0,Delhi Daredevils,0,5,Ma Agarwal,Maharashtra Cricket Association Stadium,Cb Gaffaney,K Srinath,Target is chased
529,2015,Visakhapatnam,2015-04-16,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,Am Rahane,Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,Pg Pathak,S Ravi,Target is chased
530,2015,Mumbai,2015-04-17,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Chennai Super Kings,0,6,A Nehra,Wankhede Stadium,Ak Chaudhary,M Erasmus,Target is chased
