id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,match_outcome,home_advantage
230,2010,Kolkata,2010-04-19,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,0,9,M Kartik,Eden Gardens,Bg Jerling,Re Koertzen,Target is chased,Team2 Home
231,2010,Mumbai,2010-04-21,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Mumbai Indians,35,0,Ka Pollard,Dr Dy Patil Sports Academy,Br Doctrove,Rb Tiffin,Target is defended,Team1 Home
232,2010,Mumbai,2010-04-22,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Chennai Super Kings,38,0,De Bollinger,Dr Dy Patil Sports Academy,Br Doctrove,Rb Tiffin,Target is defended,Neutral
233,2010,Mumbai,2010-04-24,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Royal Challengers Bangalore,0,9,A Kumble,Dr Dy Patil Sports Academy,Re Koertzen,Sja Taufel,Target is chased,Neutral
234,2010,Mumbai,2010-04-25,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,22,0,Sk Raina,Dr Dy Patil Sports Academy,Re Koertzen,Sja Taufel,Target is defended,Team2 Home
235,2011,Chennai,2011-04-08,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,2,0,S Anirudha,"Ma Chidambaram Stadium, Chepauk",Br Doctrove,Pr Reiffel,Target is defended,Team1 Home
236,2011,Hyderabad,2011-04-09,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,Sk Trivedi,"Rajiv Gandhi International Stadium, Uppal",Re Koertzen,Sk Tarapore,Target is chased,Neutral
237,2011,Kochi,2011-04-09,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,0,Royal Challengers Bangalore,0,6,Ab De Villiers,Nehru Stadium,Hdpk Dharmasena,K Hariharan,Target is chased,Team1 Home
238,2011,Delhi,2011-04-10,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,0,Mumbai Indians,0,8,Sl Malinga,Feroz Shah Kotla,Am Saheba,Rb Tiffin,Target is chased,Team1 Home
239,2011,Mumbai,2011-04-10,Kings Xi Punjab,Pune Warriors,Kings Xi Punjab,bat,normal,0,Pune Warriors,0,7,Sb Wagh,Dr Dy Patil Sports Academy,Br Doctrove,Pr Reiffel,Target is chased,Neutral
240,2011,Kolkata,2011-04-11,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,9,0,Jh Kallis,Eden Gardens,Re Koertzen,Sk Tarapore,Target is defended,Team1 Home
241,2011,Jaipur,2011-04-12,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Rajasthan Royals,0,6,Sk Warne,Sawai Mansingh Stadium,Aleem Dar,Rb Tiffin,Target is chased,Neutral
242,2011,Bangalore,2011-04-12,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,Sr Tendulkar,M Chinnaswamy Stadium,Hdpk Dharmasena,Al Hill,Target is chased,Team1 Home
243,2011,Chandigarh,2011-04-13,Chennai Super Kings,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,Pc Valthaty,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,Sl Shastri,Target is chased,Neutral
244,2011,Mumbai,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,bat,normal,0,Pune Warriors,0,4,Md Mishra,Dr Dy Patil Sports Academy,S Asnani,Pr Reiffel,Target is chased,Neutral
245,2011,Hyderabad,2011-04-14,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,33,0,Dw Steyn,"Rajiv Gandhi International Stadium, Uppal",Re Koertzen,S Ravi,Target is defended,Neutral
246,2011,Jaipur,2011-04-15,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,G Gambhir,Sawai Mansingh Stadium,Aleem Dar,Ss Hazare,Target is chased,Neutral
247,2011,Mumbai,2011-04-15,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,8,Bb Mccullum,Wankhede Stadium,Br Doctrove,Pr Reiffel,Target is chased,Team1 Home
248,2011,Chennai,2011-04-16,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,21,0,Mek Hussey,"Ma Chidambaram Stadium, Chepauk",Hdpk Dharmasena,Al Hill,Target is defended,Team1 Home
