id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,match_outcome,home_advantage
408,2013,Delhi,2013-04-21,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Delhi Daredevils,0,9,V Sehwag,Feroz Shah Kotla,Hdpk Dharmasena,S Ravi,Target is chased,Team2 Home
409,2013,Chandigarh,2013-04-21,Pune Warriors,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,7,Da Miller,"Punjab Cricket Association Stadium, Mohali",M Erasmus,K Srinath,Target is chased,Neutral
410,2013,Chennai,2013-04-22,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,5,Mek Hussey,"Ma Chidambaram Stadium, Chepauk",S Asnani,Ak Chaudhary,Target is chased,Team2 Home
411,2013,Bangalore,2013-04-23,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,Royal Challengers Bangalore,130,0,Ch Gayle,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,Target is defended,Team1 Home
412,2013,Dharamsala,2013-05-16,Kings Xi Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Kings Xi Punjab,7,0,Da Miller,Himachal Pradesh Cricket Association Stadium,Hdpk Dharmasena,S Ravi,Target is defended,Neutral
413,2013,Kolkata,2013-04-24,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,5,Dr Smith,Eden Gardens,Hdpk Dharmasena,S Ravi,Target is chased,Team1 Home
414,2013,Chennai,2013-04-25,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Chennai Super Kings,0,5,Ms Dhoni,"Ma Chidambaram Stadium, Chepauk",Aleem Dar,S Das,Target is chased,Team2 Home
415,2013,Kolkata,2013-04-26,Kings Xi Punjab,Kolkata Knight Riders,Kings Xi Punjab,bat,normal,0,Kolkata Knight Riders,0,6,Jh Kallis,Eden Gardens,Ck Nandan,S Ravi,Target is chased,Team2 Home
416,2013,Jaipur,2013-04-27,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,0,8,Jp Faulkner,Sawai Mansingh Stadium,Va Kulkarni,K Srinath,Target is chased,Neutral
417,2013,Mumbai,2013-04-27,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Mumbai Indians,58,0,Dr Smith,Wankhede Stadium,Asad Rauf,S Asnani,Target is defended,Team1 Home
418,2013,Chennai,2013-04-28,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,14,0,Mek Hussey,"Ma Chidambaram Stadium, Chepauk",Aleem Dar,Sja Taufel,Target is defended,Team1 Home
419,2013,Raipur,2013-04-28,Delhi Daredevils,Pune Warriors,Pune Warriors,field,normal,0,Delhi Daredevils,15,0,Da Warner,Shaheed Veer Narayan Singh International Stadium,Ck Nandan,S Ravi,Target is defended,Neutral
420,2013,Jaipur,2013-04-29,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,4,Sv Samson,Sawai Mansingh Stadium,M Erasmus,K Srinath,Target is chased,Neutral
421,2013,Mumbai,2013-04-29,Mumbai Indians,Kings Xi Punjab,Mumbai Indians,bat,normal,0,Mumbai Indians,4,0,Rg Sharma,Wankhede Stadium,Asad Rauf,Ak Chaudhary,Target is defended,Team1 Home
422,2013,Pune,2013-04-30,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,normal,0,Chennai Super Kings,37,0,Ms Dhoni,Subrata Roy Sahara Stadium,S Das,Sja Taufel,Target is defended,Team2 Home
423,2013,Hyderabad,2013-05-01,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Sunrisers Hyderabad,0,7,I Sharma,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,Target is chased,Team2 Home
424,2013,Raipur,2013-05-01,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Delhi Daredevils,0,7,Da Warner,Shaheed Veer Narayan Singh International Stadium,Hdpk Dharmasena,Ck Nandan,Target is chased,Neutral
425,2013,Chennai,2013-05-02,Chennai Super Kings,Kings Xi Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,15,0,Sk Raina,"Ma Chidambaram Stadium, Chepauk",M Erasmus,Va Kulkarni,Target is defended,Team1 Home
426,2013,Pune,2013-05-02,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,17,0,Ab De Villiers,Subrata Roy Sahara Stadium,Aleem Dar,C Shamshuddin,Target is defended,Team2 Home
427,2013,Kolkata,2013-05-03,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,0,8,Yk Pathan,Eden Gardens,Hdpk Dharmasena,Ck Nandan,Target is chased,Team2 Home
428,2013,Hyderabad,2013-05-04,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,Sunrisers Hyderabad,0,6,Djg Sammy,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,Target is chased,Team2 Home
429,2013,Bangalore,2013-05-14,Royal Challengers Bangalore,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,7,Ac Gilchrist,M Chinnaswamy Stadium,Hdpk Dharmasena,S Ravi,Target is chased,Team1 Home
430,2013,Mumbai,2013-05-05,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,60,0,Mg Johnson,Wankhede Stadium,Hdpk Dharmasena,Ck Nandan,Target is defended,Team1 Home
431,2013,Jaipur,2013-05-05,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,normal,0,Rajasthan Royals,0,5,Am Rahane,Sawai Mansingh Stadium,C Shamshuddin,Rj Tucker,Target is chased,Neutral
432,2013,Bangalore,2013-04-09,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,0,Royal Challengers Bangalore,0,7,V Kohli,M Chinnaswamy Stadium,S Ravi,Sja Taufel,Target is chased,Team2 Home
433,2013,Jaipur,2013-05-07,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Rajasthan Royals,0,9,Am Rahane,Sawai Mansingh Stadium,Aleem Dar,Rj Tucker,Target is chased,Neutral
434,2013,Mumbai,2013-05-07,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,65,0,Sr Tendulkar,Wankhede Stadium,Hdpk Dharmasena,S Ravi,Target is defended,Team1 Home
435,2013,Hyderabad,2013-05-08,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Chennai Super Kings,77,0,Sk Raina,"Rajiv Gandhi International Stadium, Uppal",S Das,Nj Llong,Target is defended,Team2 Home
436,2013,Chandigarh,2013-05-09,Kings Xi Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,Kk Cooper,"Punjab Cricket Association Stadium, Mohali",Hdpk Dharmasena,S Ravi,Target is chased,Neutral
437,2013,Pune,2013-05-09,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,46,0,G Gambhir,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,Target is defended,Team2 Home
438,2013,Delhi,2013-05-10,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Royal Challengers Bangalore,4,0,Jd Unadkat,Feroz Shah Kotla,Nj Llong,K Srinath,Target is defended,Team2 Home
439,2013,Pune,2013-05-11,Pune Warriors,Mumbai Indians,Pune Warriors,bat,normal,0,Mumbai Indians,0,5,Mg Johnson,Subrata Roy Sahara Stadium,Asad Rauf,Ak Chaudhary,Target is chased,Team1 Home
440,2013,Chandigarh,2013-05-11,Sunrisers Hyderabad,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Sunrisers Hyderabad,30,0,Pa Patel,"Punjab Cricket Association Stadium, Mohali",S Das,Rj Tucker,Target is defended,Neutral
441,2013,Ranchi,2013-05-12,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,Jh Kallis,Jsca International Stadium Complex,Nj Llong,K Srinath,Target is chased,Neutral
442,2013,Jaipur,2013-05-12,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,5,Sr Watson,Sawai Mansingh Stadium,Hdpk Dharmasena,Ck Nandan,Target is chased,Neutral
443,2013,Delhi,2013-04-23,Delhi Daredevils,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,5,Harmeet Singh,Feroz Shah Kotla,Va Kulkarni,K Srinath,Target is chased,Team1 Home
444,2013,Mumbai,2013-05-13,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Mumbai Indians,0,7,Ka Pollard,Wankhede Stadium,Ak Chaudhary,Sja Taufel,Target is chased,Team2 Home
445,2013,Ranchi,2013-05-15,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Pune Warriors,7,0,Mk Pandey,Jsca International Stadium Complex,Nj Llong,K Srinath,Target is defended,Neutral
446,2013,Chennai,2013-05-14,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Chennai Super Kings,33,0,Ms Dhoni,"Ma Chidambaram Stadium, Chepauk",C Shamshuddin,Rj Tucker,Target is defended,Team1 Home
447,2013,Mumbai,2013-05-15,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,14,0,Ap Tare,Wankhede Stadium,Asad Rauf,S Asnani,Target is defended,Team1 Home
448,2013,Chandigarh,2013-05-06,Royal Challengers Bangalore,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,Da Miller,"Punjab Cricket Association Stadium, Mohali",Va Kulkarni,Nj Llong,Target is chased,Neutral
449,2013,Hyderabad,2013-05-17,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,23,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,Ak Chaudhary,Target is defended,Team1 Home
450,2013,Dharamsala,2013-05-18,Kings Xi Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings Xi Punjab,50,0,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,Hdpk Dharmasena,Ck Nandan,Target is defended,Neutral
451,2013,Pune,2013-05-19,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,normal,0,Pune Warriors,38,0,Lj Wright,Subrata Roy Sahara Stadium,Nj Llong,Sja Taufel,Target is defended,Team1 Home
452,2013,Bangalore,2013-05-18,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,24,0,V Kohli,M Chinnaswamy Stadium,C Shamshuddin,Rj Tucker,Target is defended,Team1 Home
453,2013,Hyderabad,2013-05-19,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Sunrisers Hyderabad,0,5,Pa Patel,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,Target is chased,Team2 Home
454,2013,Delhi,2013-05-21,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,48,0,Mek Hussey,Feroz Shah Kotla,Nj Llong,Rj Tucker,Target is defended,Neutral
455,2013,Delhi,2013-05-22,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,0,4,Bj Hodge,Feroz Shah Kotla,S Ravi,Rj Tucker,Target is chased,Neutral
456,2013,Kolkata,2013-05-24,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Mumbai Indians,0,4,Harbhajan Singh,Eden Gardens,C Shamshuddin,Sja Taufel,Target is chased,Neutral
457,2013,Kolkata,2013-05-26,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,23,0,Ka Pollard,Eden Gardens,Hdpk Dharmasena,Sja Taufel,Target is defended,Neutral
458,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,Jh Kallis,Sheikh Zayed Stadium,M Erasmus,Rk Illingworth,Target is defended,Neutral
459,2014,Sharjah,2014-04-17,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,Ys Chahal,Sharjah Cricket Stadium,Aleem Dar,S Ravi,Target is chased,Neutral
460,2014,Abu Dhabi,2014-04-18,Chennai Super Kings,Kings Xi Punjab,Chennai Super Kings,bat,normal,0,Kings Xi Punjab,0,6,Gj Maxwell,Sheikh Zayed Stadium,Rk Illingworth,C Shamshuddin,Target is chased,Neutral
461,2014,Abu Dhabi,2014-04-18,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,4,Am Rahane,Sheikh Zayed Stadium,Bf Bowden,Rk Illingworth,Target is chased,Neutral
462,2014,Unknown,2014-04-19,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,Pa Patel,Dubai International Cricket Stadium,Aleem Dar,Ak Chaudhary,Target is chased,Neutral
463,2014,Unknown,2014-04-19,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Delhi Daredevils,0,4,Jp Duminy,Dubai International Cricket Stadium,Aleem Dar,Va Kulkarni,Target is chased,Neutral
464,2014,Sharjah,2014-04-20,Rajasthan Royals,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,7,Gj Maxwell,Sharjah Cricket Stadium,Bf Bowden,M Erasmus,Target is chased,Neutral
465,2014,Abu Dhabi,2014-04-21,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Chennai Super Kings,93,0,Sk Raina,Sheikh Zayed Stadium,Rk Illingworth,C Shamshuddin,Target is defended,Neutral
466,2014,Sharjah,2014-04-22,Kings Xi Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kings Xi Punjab,72,0,Gj Maxwell,Sharjah Cricket Stadium,M Erasmus,S Ravi,Target is defended,Neutral
467,2014,Unknown,2014-04-23,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,7,0,Ra Jadeja,Dubai International Cricket Stadium,Hdpk Dharmasena,Rk Illingworth,Target is defended,Neutral
468,2014,Sharjah,2014-04-24,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,2,0,Ca Lynn,Sharjah Cricket Stadium,Aleem Dar,Va Kulkarni,Target is defended,Neutral
469,2014,Unknown,2014-04-25,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,4,0,Aj Finch,Dubai International Cricket Stadium,M Erasmus,S Ravi,Target is defended,Neutral
470,2014,Unknown,2014-04-25,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Chennai Super Kings,0,7,Mm Sharma,Dubai International Cricket Stadium,Bf Bowden,M Erasmus,Target is chased,Neutral
471,2014,Abu Dhabi,2014-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,Pv Tambe,Sheikh Zayed Stadium,Hdpk Dharmasena,C Shamshuddin,Target is chased,Neutral
472,2014,Abu Dhabi,2014-04-26,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings Xi Punjab,23,0,Sandeep Sharma,Sheikh Zayed Stadium,Hdpk Dharmasena,Rk Illingworth,Target is defended,Neutral
473,2014,Sharjah,2014-04-27,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Delhi Daredevils,0,6,M Vijay,Sharjah Cricket Stadium,Aleem Dar,Va Kulkarni,Target is chased,Neutral
474,2014,Sharjah,2014-04-27,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Chennai Super Kings,0,5,Dr Smith,Sharjah Cricket Stadium,Ak Chaudhary,Va Kulkarni,Target is chased,Neutral
475,2014,Unknown,2014-04-28,Royal Challengers Bangalore,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,5,Sandeep Sharma,Dubai International Cricket Stadium,Bf Bowden,S Ravi,Target is chased,Neutral
476,2014,Abu Dhabi,2014-04-29,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,tie,0,Rajasthan Royals,0,0,Jp Faulkner,Sheikh Zayed Stadium,Aleem Dar,Ak Chaudhary,Tie/No Result,Neutral
477,2014,Unknown,2014-04-30,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Sunrisers Hyderabad,15,0,B Kumar,Dubai International Cricket Stadium,Hdpk Dharmasena,M Erasmus,Target is defended,Neutral
478,2014,Ranchi,2014-05-02,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,34,0,Ra Jadeja,Jsca International Stadium Complex,Ak Chaudhary,Nj Llong,Target is defended,Neutral
479,2014,Mumbai,2014-05-03,Kings Xi Punjab,Mumbai Indians,Kings Xi Punjab,bat,normal,0,Mumbai Indians,0,5,Cj Anderson,Wankhede Stadium,Bnj Oxenford,C Shamshuddin,Target is chased,Team2 Home
480,2014,Delhi,2014-05-03,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,Kk Nair,Feroz Shah Kotla,Ss Hazare,S Ravi,Target is chased,Team1 Home
481,2014,Bangalore,2014-05-04,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,4,Ab De Villiers,M Chinnaswamy Stadium,Hdpk Dharmasena,Va Kulkarni,Target is chased,Team2 Home
482,2014,Ahmedabad,2014-05-05,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Rajasthan Royals,10,0,Pv Tambe,"Sardar Patel Stadium, Motera",Nj Llong,Ck Nandan,Target is defended,Neutral
483,2014,Delhi,2014-05-05,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,8,Dr Smith,Feroz Shah Kotla,Rm Deshpande,Bnj Oxenford,Target is chased,Team1 Home
484,2014,Mumbai,2014-05-06,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,19,0,Rg Sharma,Wankhede Stadium,S Ravi,K Srinath,Target is defended,Team1 Home
485,2014,Delhi,2014-05-07,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Kolkata Knight Riders,0,8,G Gambhir,Feroz Shah Kotla,Bnj Oxenford,C Shamshuddin,Target is chased,Team1 Home
486,2014,Cuttack,2014-05-07,Kings Xi Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Kings Xi Punjab,44,0,Gj Maxwell,Barabati Stadium,Hdpk Dharmasena,Pg Pathak,Target is defended,Neutral
487,2014,Ahmedabad,2014-05-08,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Sunrisers Hyderabad,32,0,B Kumar,"Sardar Patel Stadium, Motera",Ak Chaudhary,Nj Llong,Target is defended,Neutral
488,2014,Bangalore,2014-05-09,Kings Xi Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kings Xi Punjab,32,0,Sandeep Sharma,M Chinnaswamy Stadium,S Ravi,K Srinath,Target is defended,Team2 Home
489,2014,Delhi,2014-05-10,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,1,Sunrisers Hyderabad,0,8,Dw Steyn,Feroz Shah Kotla,Rm Deshpande,Bnj Oxenford,Target is chased,Team1 Home
490,2014,Mumbai,2014-05-10,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,Dr Smith,Wankhede Stadium,Hdpk Dharmasena,Va Kulkarni,Target is chased,Team1 Home
491,2014,Cuttack,2014-05-11,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,G Gambhir,Barabati Stadium,Nj Llong,Ck Nandan,Target is chased,Neutral
492,2014,Bangalore,2014-05-11,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Rajasthan Royals,0,5,Jp Faulkner,M Chinnaswamy Stadium,S Ravi,Rj Tucker,Target is chased,Team1 Home
493,2014,Hyderabad,2014-05-12,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Mumbai Indians,0,7,At Rayudu,"Rajiv Gandhi International Stadium, Uppal",Hdpk Dharmasena,Va Kulkarni,Target is chased,Team1 Home
494,2014,Ranchi,2014-05-13,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,5,Ra Jadeja,Jsca International Stadium Complex,Bnj Oxenford,C Shamshuddin,Target is chased,Neutral
495,2014,Bangalore,2014-05-13,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Royal Challengers Bangalore,16,0,Yuvraj Singh,M Chinnaswamy Stadium,K Srinath,Rj Tucker,Target is defended,Team1 Home
496,2014,Hyderabad,2014-05-14,Sunrisers Hyderabad,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,Wp Saha,"Rajiv Gandhi International Stadium, Uppal",Va Kulkarni,Pg Pathak,Target is chased,Team1 Home
497,2014,Cuttack,2014-05-14,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,Rv Uthappa,Barabati Stadium,Ak Chaudhary,Nj Llong,Target is chased,Neutral
498,2014,Ahmedabad,2014-05-15,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Rajasthan Royals,62,0,Am Rahane,"Sardar Patel Stadium, Motera",S Ravi,Rj Tucker,Target is defended,Neutral
499,2014,Ranchi,2014-05-18,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,0,5,Ab De Villiers,Jsca International Stadium Complex,Bnj Oxenford,C Shamshuddin,Target is chased,Neutral
500,2014,Hyderabad,2014-05-18,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,Kolkata Knight Riders,0,7,Ut Yadav,"Rajiv Gandhi International Stadium, Uppal",Nj Llong,Ck Nandan,Target is chased,Team1 Home
501,2014,Ahmedabad,2014-05-19,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Mumbai Indians,25,0,Mek Hussey,"Sardar Patel Stadium, Motera",S Ravi,Rj Tucker,Target is defended,Neutral
502,2014,Delhi,2014-05-19,Delhi Daredevils,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,4,Ar Patel,Feroz Shah Kotla,Hdpk Dharmasena,Pg Pathak,Target is chased,Team1 Home
503,2014,Hyderabad,2014-05-20,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Sunrisers Hyderabad,0,7,Da Warner,"Rajiv Gandhi International Stadium, Uppal",Ak Chaudhary,Nj Llong,Target is chased,Team2 Home
504,2014,Kolkata,2014-05-20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,Rv Uthappa,Eden Gardens,Rm Deshpande,C Shamshuddin,Target is chased,Team2 Home
505,2014,Chandigarh,2014-05-21,Kings Xi Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,7,Lmp Simmons,"Punjab Cricket Association Stadium, Mohali",Hdpk Dharmasena,Va Kulkarni,Target is chased,Neutral
506,2014,Kolkata,2014-05-22,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,30,0,Rv Uthappa,Eden Gardens,Ak Chaudhary,Ck Nandan,Target is defended,Team1 Home
507,2014,Ranchi,2014-05-22,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,6,Da Warner,Jsca International Stadium Complex,Bnj Oxenford,C Shamshuddin,Target is chased,Neutral
508,2014,Mumbai,2014-05-23,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,15,0,Mek Hussey,Wankhede Stadium,S Ravi,Rj Tucker,Target is defended,Team1 Home
509,2014,Chandigarh,2014-05-23,Kings Xi Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings Xi Punjab,16,0,Se Marsh,"Punjab Cricket Association Stadium, Mohali",Hdpk Dharmasena,Pg Pathak,Target is defended,Neutral
510,2014,Bangalore,2014-05-24,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,8,Ms Dhoni,M Chinnaswamy Stadium,Ak Chaudhary,Nj Llong,Target is chased,Team1 Home
511,2014,Kolkata,2014-05-24,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,4,Yk Pathan,Eden Gardens,Rm Deshpande,Bnj Oxenford,Target is chased,Team2 Home
512,2014,Chandigarh,2014-05-25,Delhi Daredevils,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,7,M Vohra,"Punjab Cricket Association Stadium, Mohali",Hdpk Dharmasena,Va Kulkarni,Target is chased,Neutral
513,2014,Mumbai,2014-05-25,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,Cj Anderson,Wankhede Stadium,K Srinath,Rj Tucker,Target is chased,Team2 Home
514,2014,Kolkata,2014-05-27,Kolkata Knight Riders,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kolkata Knight Riders,28,0,Ut Yadav,Eden Gardens,Nj Llong,S Ravi,Target is defended,Team1 Home
515,2014,Mumbai,2014-05-28,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,7,Sk Raina,Brabourne Stadium,Va Kulkarni,Bnj Oxenford,Target is chased,Team1 Home
516,2014,Mumbai,2014-05-30,Kings Xi Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Kings Xi Punjab,24,0,V Sehwag,Wankhede Stadium,Hdpk Dharmasena,Rj Tucker,Target is defended,Neutral
517,2014,Bangalore,2014-06-01,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,3,Mk Pandey,M Chinnaswamy Stadium,Hdpk Dharmasena,Bnj Oxenford,Target is chased,Neutral
518,2015,Kolkata,2015-04-08,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,M Morkel,Eden Gardens,S Ravi,C Shamshuddin,Target is chased,Team2 Home
519,2015,Chennai,2015-04-09,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Chennai Super Kings,1,0,A Nehra,"Ma Chidambaram Stadium, Chepauk",Rk Illingworth,Va Kulkarni,Target is defended,Team1 Home
